date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:42	10026/10026	---M--	200	added ('OK')	application/javascript	date:Sat,%2028%20Jan%202017%2019:20:58%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/vendor/jquery.countdown.js	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/vendor/jquery.countdown.js	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:42	6587/6587	---M--	200	added ('OK')	application/javascript	date:Sat,%2018%20Mar%202017%2007:32:00%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/tt-cart.js	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/tt-cart.js	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:43	1225/1225	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20May%202019%2008:50:24%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/ajax-mail.js	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/ajax-mail.js	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:44	1295/1295	---M--	200	added ('OK')	application/javascript	date:Sat,%2015%20Apr%202017%2008:53:42%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/contact.js	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/contact.js	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:44	11304/11304	---M--	200	added ('OK')	application/javascript	date:Sat,%2018%20Mar%202017%2009:01:38%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/plugins.js	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/plugins.js	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:45	3083/3083	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Nov%202021%2019:15:50%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/main.js	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/main.js	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:51	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2029%20Jan%202017%2006:17:12%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/fonts/glyphicons-halflings-regular.eot	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/fonts/glyphicons-halflings-regular.eot	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/css/bootstrap-light.css)
18:49:51	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2029%20Jan%202017%2006:17:12%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/fonts/glyphicons-halflings-regulard41d.eot?	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/fonts/glyphicons-halflings-regulard41dd41d.eot	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/css/bootstrap-light.css)
18:49:52	18028/18028	---M--	200	added ('OK')	font/woff2	date:Sun,%2029%20Jan%202017%2006:17:18%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/fonts/glyphicons-halflings-regular.woff2	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/fonts/glyphicons-halflings-regular.woff2	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/css/bootstrap-light.css)
18:49:53	23424/23424	---M--	200	added ('OK')	font/woff	date:Sun,%2029%20Jan%202017%2006:17:18%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/fonts/glyphicons-halflings-regular.woff	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/fonts/glyphicons-halflings-regular.woff	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/css/bootstrap-light.css)
